frame,player_id,tacticam_bbox,broadcast_bbox
17,167,"[1310, 808, 1352, 885]","[1518, 436, 1561, 526]"
17,168,"[1109, 480, 1146, 542]","[871, 614, 919, 720]"
17,169,"[741, 384, 778, 449]","[1819, 593, 1879, 699]"
17,170,"[296, 418, 332, 478]","[970, 561, 1023, 658]"
17,171,"[1134, 350, 1163, 408]","[1566, 494, 1602, 588]"
17,172,"[1134, 350, 1163, 408]","[1308, 492, 1350, 563]"
17,173,"[335, 364, 372, 417]","[1281, 471, 1336, 545]"
18,174,"[1670, 463, 1710, 526]","[1537, 712, 1611, 840]"
18,175,"[1706, 325, 1743, 389]","[650, 729, 707, 860]"
18,176,"[289, 504, 330, 567]","[851, 563, 903, 641]"
18,177,"[334, 364, 379, 416]","[1290, 471, 1361, 563]"
18,178,"[1670, 463, 1710, 526]","[1647, 452, 1716, 530]"
18,179,"[1706, 325, 1743, 389]","[1512, 437, 1569, 523]"
18,180,"[564, 99, 591, 157]","[975, 559, 1028, 654]"
18,181,"[1111, 481, 1144, 544]","[872, 610, 927, 718]"
18,182,"[1133, 351, 1166, 410]","[1567, 491, 1607, 588]"
18,183,"[1111, 481, 1144, 544]","[1610, 562, 1657, 667]"
18,184,"[739, 387, 781, 447]","[1831, 594, 1885, 699]"
19,185,"[1668, 463, 1711, 527]","[1541, 709, 1623, 840]"
19,186,"[1668, 463, 1711, 527]","[653, 728, 715, 850]"
19,187,"[334, 365, 382, 417]","[1295, 470, 1371, 562]"
19,188,"[1114, 482, 1141, 543]","[857, 561, 907, 645]"
19,189,"[291, 503, 327, 567]","[872, 610, 938, 711]"
19,190,"[301, 414, 340, 472]","[981, 558, 1030, 649]"
19,191,"[1702, 326, 1745, 390]","[1513, 437, 1575, 524]"
19,192,"[1668, 463, 1711, 527]","[1651, 451, 1708, 534]"
19,193,"[334, 365, 382, 417]","[1562, 487, 1613, 579]"
19,194,"[291, 503, 327, 567]","[1616, 564, 1650, 668]"
19,195,"[739, 390, 781, 446]","[1845, 594, 1888, 701]"
20,196,"[272, 760, 315, 831]","[1543, 707, 1634, 834]"
20,197,"[710, 344, 747, 398]","[866, 609, 944, 712]"
20,198,"[1671, 464, 1711, 527]","[655, 722, 720, 843]"
20,199,"[710, 344, 747, 398]","[1299, 471, 1380, 561]"
20,200,"[1671, 464, 1711, 527]","[1514, 438, 1573, 525]"
20,201,"[272, 760, 315, 831]","[986, 557, 1039, 653]"
20,202,"[710, 344, 747, 398]","[1557, 488, 1620, 577]"
20,203,"[1113, 483, 1136, 542]","[857, 559, 913, 648]"
20,204,"[569, 103, 593, 154]","[1663, 452, 1693, 535]"
20,205,"[743, 391, 781, 447]","[1850, 595, 1889, 702]"
20,206,"[710, 344, 747, 398]","[1617, 562, 1661, 660]"
20,207,"[972, 271, 989, 328]","[178, 509, 215, 613]"
21,208,"[293, 496, 334, 564]","[866, 614, 945, 710]"
21,209,"[823, 568, 880, 631]","[1543, 705, 1640, 827]"
21,210,"[334, 365, 387, 418]","[1304, 473, 1382, 565]"
21,211,"[268, 757, 308, 830]","[653, 721, 721, 844]"
21,212,"[824, 151, 855, 193]","[1533, 441, 1576, 524]"
21,213,"[293, 496, 334, 564]","[857, 559, 917, 653]"
21,214,"[708, 345, 742, 398]","[1549, 490, 1617, 581]"
21,215,"[293, 496, 334, 564]","[1618, 559, 1671, 670]"
21,216,"[307, 411, 346, 467]","[986, 556, 1038, 650]"
21,217,"[1493, 234, 1518, 283]","[1662, 453, 1695, 534]"
21,218,"[748, 392, 777, 447]","[1857, 592, 1899, 700]"
22,219,"[269, 753, 311, 829]","[653, 719, 717, 845]"
22,220,"[295, 493, 340, 563]","[871, 611, 943, 712]"
22,221,"[424, 200, 465, 255]","[1309, 475, 1378, 564]"
22,222,"[269, 753, 311, 829]","[1536, 705, 1605, 822]"
22,223,"[269, 753, 311, 829]","[1653, 451, 1707, 536]"
22,224,"[269, 753, 311, 829]","[985, 554, 1050, 648]"
22,225,"[295, 493, 340, 563]","[1617, 559, 1682, 670]"
22,226,"[424, 200, 465, 255]","[1545, 493, 1616, 584]"
22,227,"[269, 753, 311, 829]","[1545, 444, 1578, 525]"
22,228,"[1107, 480, 1138, 542]","[865, 558, 922, 656]"
22,229,"[746, 391, 770, 447]","[1860, 590, 1907, 698]"
23,230,"[268, 747, 317, 824]","[657, 717, 717, 842]"
23,231,"[297, 492, 345, 554]","[1615, 558, 1691, 664]"
23,232,"[1321, 808, 1369, 878]","[1534, 705, 1627, 824]"
23,233,"[311, 412, 347, 466]","[983, 552, 1058, 647]"
23,234,"[268, 747, 317, 824]","[1644, 452, 1711, 530]"
